Order,Variable,Description,Category,Variable Type,Consumption Type,Root Formula,Type,Size,Part
45,Q4740C2017,Model Year - Vehicle Driven [M Oft] - 2018,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
46,Q4740C2018,Model Year - Vehicle Driven [M Oft] - 2019,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
47,Q4740C2019,Model Year - Vehicle Driven [M Oft] - 2020,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
48,Q4740C2020,Model Year - Vehicle Driven [M Oft] - 2021,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
49,Q4740C2022N,Model Year - Vehicle Driven [M Oft] - 2022 or newer,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
50,Q470050C01,Involvement in Purchase Decision - I was not involved in the decision,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
51,Q470050C02,Involvement in Purchase Decision - I made the decision alone,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
52,Q470050C03,Involvement in Purchase Decision - I participated in the decision with someone else,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
53,Q470060C01,Title - Vehicle Driven [M Oft] - Bought new,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
54,Q470060C02,Title - Vehicle Driven [M Oft] - Bought used,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
55,Q470060C06,Title - Vehicle Driven [M Oft] - Leased (new or used),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
56,Q470060C05,Title - Vehicle Driven [M Oft] - Don't know/not sure (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
57,Q4700700K1,Vehicles in HH - None,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
58,Q4700700K2,Vehicles in HH - 1,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
59,Q4700700K3,Vehicles in HH - 2,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
60,Q4700700K4,Vehicles in HH - 3,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
61,Q4700700K5,Vehicles in HH - More than 3,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
62,Q4700700I0,Vehicles in HH - 1+,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
63,Q4700700A0,Vehicles in HH - 1+ (Vehicles),Automotive - Products,Consumption,Vehicles,[Q4700700I0],Double,8,1
64,Q470080C01,"Title - Vehicle Purchased [Pst 2 Yrs] - No, not in the past 2 years",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
65,Q470080C02,"Title - Vehicle Purchased [Pst 2 Yrs] - Yes, purchased new",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
66,Q470080C03,"Title - Vehicle Purchased [Pst 2 Yrs] - Yes, purchased used",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
67,Q470080C06,"Title - Vehicle Purchased [Pst 2 Yrs] - Yes, leased (new or used)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
68,Q470090C01,Planned Action at End of Lease - Purchase the vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
69,Q470090C02,Planned Action at End of Lease - Return the vehicle to the lessor,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
70,Q470100C01,Planned [Nxt Yr] - Definitely will purchase or lease,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
71,Q470100C02,Planned [Nxt Yr] - Likely will purchase or lease,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
72,Q470100C03,Planned [Nxt Yr] - Likely will not purchase or lease,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
73,Q470100C04,Planned [Nxt Yr] - Definitely will not purchase or lease,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
74,Q4701200K1,"Planned Spend - Purchase/Lease Vehicle - Less than $10,000 (!)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
75,Q4701200K2,"Planned Spend - Purchase/Lease Vehicle - $10,000 - $14,999 (^)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
76,Q4701200K3,"Planned Spend - Purchase/Lease Vehicle - $15,000 - $19,999 (!)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
77,Q4701200K4,"Planned Spend - Purchase/Lease Vehicle - $20,000 - $24,999 (!)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
78,Q4701200K5,"Planned Spend - Purchase/Lease Vehicle - $25,000 - $29,999",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
79,Q4701200K6,"Planned Spend - Purchase/Lease Vehicle - $30,000 - $39,999",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
80,Q4701200K7,"Planned Spend - Purchase/Lease Vehicle - $40,000 or more",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
81,Q4701200I0,Planned Spend - Purchase/Lease Vehicle - 1+,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
82,Q4701200A0,Planned Spend - Purchase/Lease Vehicle - 1+ (Dollars),Automotive - Products,Consumption,Dollars,[Q4701200I0],Double,8,1
83,Q4701301C1,Automotive Assistance Services - Auto club - Have service,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
84,Q4701302C1,Automotive Assistance Services - Manufacturer's roadside assistance program - Have service,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
85,Q4701303C1,Automotive Assistance Services - OnStar or other direct communication service - Have service,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
86,Q471010C01,Planned Type - Purchase/Lease Vehicle - Sedan,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
87,Q471010C02,Planned Type - Purchase/Lease Vehicle - Sub-compact,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
88,Q471010C04,Planned Type - Purchase/Lease Vehicle - Minivan/station wagon (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
89,Q471010C05,Planned Type - Purchase/Lease Vehicle - Sport utility vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
90,Q471010C06,Planned Type - Purchase/Lease Vehicle - Pick-up truck (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
91,Q471020C01,Considerations - Next Vehicle - Definitely will consider a hybrid vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
92,Q471020C02,Considerations - Next Vehicle - Likely will consider a hybrid vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
93,Q471020C03,Considerations - Next Vehicle - Likely will not consider a hybrid vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
94,Q471020C04,Considerations - Next Vehicle - Definitely will not consider a hybrid vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
95,Q4710202C1,Considerations - Next Vehicle - Definitely will consider a fully electric vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
96,Q4710202C2,Considerations - Next Vehicle - Likely will consider a fully electric vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
97,Q4710202C3,Considerations - Next Vehicle - Likely will not consider a fully electric vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
98,Q4710202C4,Considerations - Next Vehicle - Definitely will not consider a fully electric vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
99,Q4710203C1,Considerations - Next Vehicle - Definitely will consider the same brand of vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
100,Q4710203C2,Considerations - Next Vehicle - Likely will consider the same brand of vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
101,Q4710203C3,Considerations - Next Vehicle - Likely will not consider the same brand of vehicle,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
102,Q4710203C4,Considerations - Next Vehicle - Definitely will not consider the same brand of vehicle (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
103,Q4710400K1,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - Less than $10,000",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
104,Q4710400K2,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - $10,000 - $14,999 (!)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
105,Q4710400K3,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - $15,000 - $19,999",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
106,Q4710400K4,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - $20,000 - $24,999",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
107,Q4710400K5,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - $25,000 - $29,999",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
108,Q4710400K6,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - $30,000 - $39,999",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
109,Q4710400K7,"Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - $40,000 or more",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
110,Q4710400I0,Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - 1+,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
111,Q4710400A0,Spent - Purchase/Lease Vehicle [Pst 2 Yrs] - 1+ (Dollars),Automotive - Products,Consumption,Dollars,[Q4710400I0],Double,8,1
112,Q471050C01,Involved In - Vehicle Insurance Decision - Very involved,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
113,Q471050C02,Involved In - Vehicle Insurance Decision - Somewhat involved,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
114,Q471050C03,Involved In - Vehicle Insurance Decision - Not very involved,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
115,Q471050C04,Involved In - Vehicle Insurance Decision - Not at all involved,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
116,Q471080C02,Licensed to drive - Yes,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
117,Q4810401K1,Shopped [Pst Yr] - Car Dealership - In person - Buick/Cadillac/Chevrolet/GMC,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
118,Q4810402K1,Shopped [Pst Yr] - Car Dealership - In person - Chrysler/Dodge/Jeep,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
119,Q4810403K1,Shopped [Pst Yr] - Car Dealership - In person - Ford/Lincoln,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
120,Q4810405K1,Shopped [Pst Yr] - Car Dealership - In person - Honda,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
121,Q4810406K1,Shopped [Pst Yr] - Car Dealership - In person - Hyundai,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
122,Q4810407K1,Shopped [Pst Yr] - Car Dealership - In person - Kia,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
123,Q4810408K1,Shopped [Pst Yr] - Car Dealership - In person - Mazda,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
124,Q4810409K1,Shopped [Pst Yr] - Car Dealership - In person - Nissan/Infiniti,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
125,Q4810410K1,Shopped [Pst Yr] - Car Dealership - In person - Toyota/Lexus,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
126,Q4810411K1,Shopped [Pst Yr] - Car Dealership - In person - Other Asian brands,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
127,Q4810412K1,Shopped [Pst Yr] - Car Dealership - In person - BMW,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
128,Q4810413K1,Shopped [Pst Yr] - Car Dealership - In person - Mercedes-Benz (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
129,Q4810414K1,Shopped [Pst Yr] - Car Dealership - In person - Volkswagen,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
130,Q4810415K1,Shopped [Pst Yr] - Car Dealership - In person - Other European brands,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
131,Q4810417K1,Shopped [Pst Yr] - Car Dealership - In person - Independent used car dealerships (any) (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
132,Q4810512K1,Shopped [Pst Yr] - Car Dealership - Website - BMW (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
133,Q4810513C01,Shopped [Pst Yr] - Car Dealership - Website - Mercedes-Benz (^),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
134,Q4810501K1,Shopped [Pst Yr] - Car Dealership - Website - Buick/Cadillac/Chevrolet/GMC,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
135,Q4810502K1,Shopped [Pst Yr] - Car Dealership - Website - Chrysler/Dodge/Jeep (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
136,Q4810503K1,Shopped [Pst Yr] - Car Dealership - Website - Ford/Lincoln,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
137,Q4810505K1,Shopped [Pst Yr] - Car Dealership - Website - Honda,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
138,Q4810506K1,Shopped [Pst Yr] - Car Dealership - Website - Hyundai,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
139,Q4810507K1,Shopped [Pst Yr] - Car Dealership - Website - Kia,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
140,Q4810508K1,Shopped [Pst Yr] - Car Dealership - Website - Mazda (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
141,Q4810509K1,Shopped [Pst Yr] - Car Dealership - Website - Nissan/Infiniti (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
142,Q4810510K1,Shopped [Pst Yr] - Car Dealership - Website - Toyota/Lexus,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
143,Q4810511C01,Shopped [Pst Yr] - Car Dealership - Website - Other Asian brands (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
144,Q4810514K1,Shopped [Pst Yr] - Car Dealership - Website - Volkswagen (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
145,Q4810515C01,Shopped [Pst Yr] - Car Dealership - Website - Other European brands (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
146,Q471030C03,SiriusXM Subscription - In vehicle - Have,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
147,Q471030C04,SiriusXM Subscription - Home or portable radio - Have,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
148,Q3900600C1,Audio used while in vehicle [M Oft] - AM/FM radio,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
149,Q3900600C2,Audio used while in vehicle [M Oft] - HD radio (digital AM/FM),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
150,Q3900600C3,Audio used while in vehicle [M Oft] - SiriusXM satellite radio,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
151,Q3900600C4,"Audio used while in vehicle [M Oft] - Owned music (e.g. digital music, CDs)",Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
152,Q3900600C5,Audio used while in vehicle [M Oft] - Podcast,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
153,Q3900600C6,Audio used while in vehicle [M Oft] - Free streaming audio service (e.g. Spotify Free) (!),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
154,Q3900600C8,Audio used while in vehicle [M Oft] - Paid streaming audio service (e.g. Tidal),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
155,Q3900501C1,Audio used while in vehicle [Pst Mth] - AM/FM radio,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
156,Q3900502C1,Audio used while in vehicle [Pst Mth] - HD radio (digital AM/FM),Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
157,Q3900503C1,Audio used while in vehicle [Pst Mth] - SiriusXM satellite radio,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
158,Q3900504C1,Audio used while in vehicle [Pst Mth] - Owned music,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
159,Q3900505C1,Audio used while in vehicle [Pst Mth] - Podcast,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
160,Q3900506C1,Audio used while in vehicle [Pst Mth] - Radio station online streaming,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
161,Q3900508C1,Audio used while in vehicle [Pst Mth] - Free streaming audio service,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
162,Q3900509C1,Audio used while in vehicle [Pst Mth] - Paid streaming audio service,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
163,Q3900510C1,Audio used while in vehicle [Pst Mth] - Other source,Automotive - Products,Incidence,,[NBAS12HP],Double,8,1
164,Q4800101K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Collision repair/body work - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
165,Q4800101K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Collision repair/body work - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
166,Q4800101I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Collision repair/body work - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
167,Q4800102K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Oil change/lube - Gas station/Service centre,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
168,Q4800102K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Oil change/lube - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
169,Q4800102K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Oil change/lube - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
170,Q4800102I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Oil change/lube - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
171,Q4800103K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Paint job - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
172,Q4800103K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Paint job - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
173,Q4800103I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Paint job - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
174,Q4800104K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Performance enhancement (any) - Gas station/Service centre (!),Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
175,Q4800104K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Performance enhancement (any) - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
176,Q4800104K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Performance enhancement (any) - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
177,Q4800104I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Performance enhancement (any) - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
178,Q4800105K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair brakes - Gas station/Service centre,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
179,Q4800105K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair brakes - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
180,Q4800105K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair brakes - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
181,Q4800105I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair brakes - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
182,Q4800106K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair transmission - Gas station/Service centre,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
183,Q4800106K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair transmission - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
184,Q4800106K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair transmission - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
185,Q4800106I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Repair transmission - Yourself/Family or friend (!),Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
186,Q4800107K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace muffler/shocks - Gas station/Service centre,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
187,Q4800107K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace muffler/shocks - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
188,Q4800107K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace muffler/shocks - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
189,Q4800107I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace muffler/shocks - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
190,Q4800108K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace tires - Gas station/Service centre,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
191,Q4800108K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace tires - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
192,Q4800108K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace tires - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
193,Q4800108I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace tires - Yourself/Family or friend,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
194,Q4800109K2,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace windshield - Gas station/Service centre (!),Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
195,Q4800109K3,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace windshield - Car dealer,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
196,Q4800109K4,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace windshield - Specialty shop,Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
197,Q4800109I5,Where Maintenance Last Done - Vehicle Driven [M Oft] - Replace windshield - Yourself/Family or friend (!),Automotive - Service,Incidence,,[NBAS12HP],Double,8,1
